Densities = per acre | BA = sq. ft. / acre | Heights = feet | QMD = inches

Macroplot,MonStatusOrd,MonStatus,Species,SciName,CommName,Individuals,Sapling,Seedling,Snag,Total,BA,LiCrBHt,Height,QMD,CrFuBHt,CrScPct,ScorchHt,CharHt,LiveSeedling,DeadSeedling,LiveSapling,DeadSapling,BASapling
"FPICO1T08:20",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",0,,,214.993929583165,0,0,,,,,,,,,,,,
"FPICO1T08:21",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",376.36584378794,,,279.23917442331,376.36584378794,90.8015880523186,,29.8064170212766,6.65086421942041,,,,,,,,,
"FPICO1T08:21",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",28.328611898017,,,0,28.328611898017,4.19999832424798,,16.404,5.21372802509737,,,,,,,,,
"FPICO1T08:21",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",25.2934034803723,,,0,25.2934034803723,0.670779371016984,,14.7636,2.20507148983882,,,,,,,,,
"FPICO1T08:21",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",50.5868069607446,,,290.874140024282,50.5868069607446,16.4327047059787,28.21488,49.29402,7.71742385012641,,,,,,,,,
"FPICO1T08:21",7,"01PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",25.2934034803723,,,12.6467017401862,25.2934034803723,19.5679621262964,0.98424,57.74208,11.9098317079315,,,,,,,,,
"FPICO1T08:24",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",113.314447592068,,,206.394172399838,113.314447592068,57.8619374552744,,22.9656,9.67587621932025,,,,,,,,,
"FPICO1T08:24",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",44.5163901254553,,,0,44.5163901254553,14.1339136517135,,24.0592,7.62970432719679,,,,,,,,,
"FPICO1T08:24",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",37.9401052205585,,,0,37.9401052205585,2.2594167114603,,,3.30434484114981,,,,,,,,,
"FPICO1T08:24",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",75.880210441117,,,177.053824362606,75.880210441117,44.152015382654,32.47992,59.6012,10.3287428228407,,,,,,,,,
"FPICO1T08:24",7,"01PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",88.5269121813031,,,12.6467017401862,88.5269121813031,42.100867433505,2.755872,53.42236,9.33779477848567,,,,,,,,,
"FPICO1T08:25",1,"00PreBurn01","ABLA","Abies lasiocarpa","subalpine fir",24.2816673411574,,,8.09388911371914,24.2816673411574,6.40174554372126,,26.2464,6.95258668814828,,,,,,,,,
"FPICO1T08:25",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",84.985835694051,,,84.985835694051,84.985835694051,47.2748365491564,,9.8424,10.0989960991489,,,,,,,,,
"FPICO1T08:25",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",64.7511129097531,,,4.04694455685957,64.7511129097531,18.3638821502177,,23.4342857142857,7.21099328303277,,,,,,,,,
"FPICO1T08:25",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",12.6467017401862,,,0,12.6467017401862,9.55823183747042,4.9212,62.66328,11.77163,,,,,,,,,
"FPICO1T08:25",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",50.5868069607446,,,164.40712262242,50.5868069607446,7.22750338860682,39.69768,51.83664,5.11813785562923,,,,,,,,,
"FPICO1T08:25",7,"01PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",88.5269121813031,,,0,88.5269121813031,33.0072844877208,2.165328,52.033488,8.26806155331898,,,,,,,,,
